time,sample_size,sample_rate,num_match,apt_size,num_attrs,is_ref,apt
0.05,100,0.04,9,2621,2,0,1
2.17,1600,0.61,9,2621,2,0,1
0.07,200,0.08,8,2621,2,0,1
5.6,2600,0.99,10,2621,2,1,1
0.18,400,0.15,8,2621,2,0,1
0.06,50,0.02,7,2621,2,0,1
0.11,100,0.0,1,66282,2,0,2
131.89,12800,0.19,1,66282,2,0,2
182.71,15000,0.23,10,66282,2,1,2
2.16,1600,0.02,1,66282,2,0,2
0.13,200,0.0,1,66282,2,0,2
8.29,3200,0.05,1,66282,2,0,2
0.23,400,0.01,2,66282,2,0,2
0.1,50,0.0,2,66282,2,0,2
35.23,6400,0.1,1,66282,2,0,2
0.62,800,0.01,1,66282,2,0,2
