edge,sample_rate,runtime,ndcg_score
1,0.05,4.49,0.9244116026974353
1,0.1,4.51,0.6918521624418736
1,0.2,4.50,0.982312006938405
1,0.3,4.52,0.9728616401894721
1,0.4,4.51,0.9740616692945486
1,0.5,4.55,0.9952049973310942
1,0.6,4.49,0.9828554565060872
1,0.7,4.54,0.9965603769080572
2,0.05,36.75,0.6911913906206406
2,0.1,40.69,0.6532588680373855
2,0.2,43.32,0.6359173081260708
2,0.3,45.67,0.6786466759477279
2,0.4,48.63,0.6859571281379908
2,0.5,51.18,0.7094070421192719
2,0.6,53.34,0.708458496782339
2,0.7,55.79,0.7310097349699601
3,0.05,235.51,0.6827280657761672
3,0.1,239.91,0.7818521684718743
3,0.2,272.82,0.6865728663412705
3,0.3,314.54,0.6972385310097883
3,0.4,348.91,0.7181019823785613
3,0.5,372.83,0.7579209543707732
3,0.6,394.75,0.7256075827242628
3,0.7,416.97,0.7914604457539058
1,1.0,4.47,1
2,1.0,62.99,1
3,1.0,436.65,1
